x	y	temp	time	received_request	a	r	sp_x	sp_y	sp_temp	sp_time	sp_received_request
1	1	1	1	false	3	0	1	1	1	1	false
1	1	1	1	false	4	45.0	2	1	1	1	true
1	1	1	2	false	5	0	1	1	1	2	false
1	1	1	2	false	4	0	1	1	1	2	false
1	1	1	2	false	2	0	1	1	1	2	false
1	1	1	2	false	5	45.0	1	1	1	2	true
1	1	1	3	false	5	0	1	1	1	3	false
1	1	1	3	false	2	0	1	1	1	3	false
1	1	1	3	false	2	0	1	1	1	3	false
1	1	1	3	false	2	0	1	1	1	3	false
1	1	1	3	false	2	0	1	1	1	3	false
1	1	1	3	false	5	0	1	1	1	3	false
1	1	1	3	false	2	0	1	1	1	3	false
1	1	1	3	false	5	45.0	1	1	1	3	true
1	1	1	4	false	2	0	1	1	1	4	false
1	1	1	4	false	2	0	1	1	1	4	false
1	1	1	4	false	1	45.0	1	2	1	4	true
1	1	2	1	false	3	0	1	1	2	1	false
1	1	2	1	false	4	-5.0	2	1	2	1	false
2	1	2	1	false	5	45.0	2	1	2	1	true
1	1	2	2	false	4	0	1	1	2	2	false
1	1	2	2	false	3	0	1	1	2	2	false
1	1	2	2	false	5	45.0	1	1	2	2	true
1	1	2	3	false	2	0	1	1	2	3	false
1	1	2	3	false	2	0	1	1	2	3	false
1	1	2	3	false	2	0	1	1	2	3	false
1	1	2	3	false	2	0	1	1	2	3	false
1	1	2	3	false	4	0	1	1	2	3	false
1	1	2	3	false	1	45.0	1	2	2	3	true
1	1	2	4	false	3	0	1	1	2	4	false
1	1	2	4	false	2	0	1	1	2	4	false
1	1	2	4	false	5	45.0	1	1	2	4	true
1	1	3	1	false	1	-5.0	1	2	3	1	false
1	2	3	1	false	5	45.0	1	2	3	1	true
1	1	3	2	false	1	-5.0	1	2	3	2	false
1	2	3	2	false	1	45.0	1	2	3	2	true
1	1	3	3	false	2	0	1	1	3	3	false
1	1	3	3	false	1	-5.0	1	2	3	3	false
1	2	3	3	false	2	0	1	2	3	3	false
1	2	3	3	false	5	45.0	1	2	3	3	true
1	1	3	4	false	3	0	1	1	3	4	false
1	1	3	4	false	3	0	1	1	3	4	false
1	1	3	4	false	5	45.0	1	1	3	4	true
1	1	4	1	false	3	0	1	1	4	1	false
1	1	4	1	false	3	0	1	1	4	1	false
1	1	4	1	false	2	0	1	1	4	1	false
1	1	4	1	false	5	0	1	1	4	1	false
1	1	4	1	false	3	0	1	1	4	1	false
1	1	4	1	false	3	0	1	1	4	1	false
1	1	4	1	false	2	0	1	1	4	1	false
1	1	4	1	false	1	0	1	1	4	1	false
1	1	4	1	false	5	0	1	1	4	1	false
1	1	4	1	false	5	45.0	1	1	4	1	true
1	1	4	2	false	4	45.0	2	1	4	2	true
1	1	4	3	false	5	0	1	1	4	3	false
1	1	4	3	false	5	45.0	1	1	4	3	true
1	1	4	4	false	4	45.0	2	1	4	4	true
1	2	1	1	false	5	0	1	2	1	1	false
1	2	1	1	false	3	0	1	2	1	1	false
1	2	1	1	false	5	45.0	1	2	1	1	true
1	2	1	2	false	3	0	1	2	1	2	false
1	2	1	2	false	4	0	1	2	1	2	false
1	2	1	2	false	5	45.0	1	2	1	2	true
1	2	1	3	false	2	-5.0	1	1	1	3	false
1	1	1	3	false	1	-5.0	1	2	1	3	false
1	2	1	3	false	5	45.0	1	2	1	3	true
1	2	1	4	false	4	-5.0	2	2	1	4	false
2	2	1	4	false	1	0	2	2	1	4	false
2	2	1	4	false	5	0	2	2	1	4	false
2	2	1	4	false	4	45.0	3	2	1	4	true
1	2	2	1	false	4	0	1	2	2	1	false
1	2	2	1	false	2	0	1	2	2	1	false
1	2	2	1	false	4	45.0	2	2	2	1	true
1	2	2	2	false	3	0	1	2	2	2	false
1	2	2	2	false	3	0	1	2	2	2	false
1	2	2	2	false	4	45.0	2	2	2	2	true
1	2	2	3	false	1	-5.0	1	3	2	3	false
1	3	2	3	false	4	45.0	2	3	2	3	true
1	2	2	4	false	2	-5.0	1	1	2	4	false
1	1	2	4	false	1	45.0	1	1	2	4	true
1	2	3	1	false	1	0	1	2	3	1	false
1	2	3	1	false	3	0	1	2	3	1	false
1	2	3	1	false	3	0	1	2	3	1	false
1	2	3	1	false	3	0	1	2	3	1	false
1	2	3	1	false	2	45.0	1	2	3	1	true
1	2	3	2	false	4	-5.0	2	2	3	2	false
2	2	3	2	false	4	45.0	3	2	3	2	true
1	2	3	3	false	4	45.0	2	2	3	3	true
1	2	3	4	false	4	45.0	2	2	3	4	true
1	2	4	1	false	1	0	1	2	4	1	false
1	2	4	1	false	1	-5.0	1	3	4	1	false
1	3	4	1	false	1	45.0	1	4	4	1	true
1	2	4	2	false	4	45.0	2	2	4	2	true
1	2	4	3	false	1	0	1	2	4	3	false
1	2	4	3	false	3	0	1	2	4	3	false
1	2	4	3	false	1	-5.0	1	3	4	3	false
1	3	4	3	false	2	-5.0	1	2	4	3	false
1	2	4	3	false	4	45.0	1	2	4	3	true
1	2	4	4	false	4	0	1	2	4	4	false
1	2	4	4	false	3	0	1	2	4	4	false
1	2	4	4	false	1	-5.0	1	3	4	4	false
1	3	4	4	false	4	0	1	3	4	4	false
1	3	4	4	false	1	-5.0	1	4	4	4	false
1	4	4	4	false	3	0	1	4	4	4	false
1	4	4	4	false	1	45.0	1	4	4	4	true
1	3	1	1	false	2	-5.0	1	2	1	1	false
1	2	1	1	false	5	0	1	2	1	1	false
1	2	1	1	false	4	45.0	1	2	1	1	true
1	3	1	2	false	1	45.0	1	3	1	2	true
1	3	1	3	false	5	45.0	1	3	1	3	true
1	3	1	4	false	4	45.0	2	3	1	4	true
1	3	2	1	false	3	0	1	3	2	1	false
1	3	2	1	false	2	45.0	1	2	2	1	true
1	3	2	2	false	4	45.0	1	3	2	2	true
1	3	2	3	false	3	0	1	3	2	3	false
1	3	2	3	false	1	45.0	1	4	2	3	true
1	3	2	4	false	5	0	1	3	2	4	false
1	3	2	4	false	1	0	1	3	2	4	false
1	3	2	4	false	1	45.0	1	3	2	4	true
1	3	3	1	false	2	45.0	1	2	3	1	true
1	3	3	2	false	5	45.0	1	3	3	2	true
1	3	3	3	false	4	45.0	2	3	3	3	true
1	3	3	4	false	4	0	1	3	3	4	false
1	3	3	4	false	4	45.0	2	3	3	4	true
1	3	4	1	false	2	-5.0	1	2	4	1	false
1	2	4	1	false	3	0	1	2	4	1	false
1	2	4	1	false	5	45.0	1	2	4	1	true
1	3	4	2	false	5	45.0	1	3	4	2	true
1	3	4	3	false	1	-5.0	1	4	4	3	false
1	4	4	3	false	1	45.0	1	5	4	3	true
1	3	4	4	false	1	-5.0	1	4	4	4	false
1	4	4	4	false	4	45.0	2	4	4	4	true
1	4	1	1	false	4	0	1	4	1	1	false
1	4	1	1	false	5	45.0	1	4	1	1	true
1	4	1	2	false	5	45.0	1	4	1	2	true
1	4	1	3	false	5	45.0	1	4	1	3	true
1	4	1	4	false	5	45.0	1	4	1	4	true
1	4	2	1	false	5	0	1	4	2	1	false
1	4	2	1	false	5	0	1	4	2	1	false
1	4	2	1	false	3	0	1	4	2	1	false
1	4	2	1	false	5	0	1	4	2	1	false
1	4	2	1	false	1	-5.0	1	5	2	1	false
1	5	2	1	false	5	0	1	5	2	1	false
1	5	2	1	false	2	45.0	1	4	2	1	true
1	4	2	2	false	3	0	1	4	2	2	false
1	4	2	2	false	5	0	1	4	2	2	false
1	4	2	2	false	3	0	1	4	2	2	false
1	4	2	2	false	3	0	1	4	2	2	false
1	4	2	2	false	4	-5.0	2	4	2	2	false
2	4	2	2	false	2	45.0	2	3	2	2	true
1	4	2	3	false	4	45.0	2	4	2	3	true
1	4	2	4	false	4	-5.0	2	4	2	4	false
2	4	2	4	false	3	0	2	4	2	4	false
2	4	2	4	false	3	45.0	2	4	2	4	true
1	4	3	1	false	5	0	1	4	3	1	false
1	4	3	1	false	3	0	1	4	3	1	false
1	4	3	1	false	2	-5.0	1	3	3	1	false
1	3	3	1	false	5	0	1	3	3	1	false
1	3	3	1	false	4	45.0	2	3	3	1	true
1	4	3	2	false	4	45.0	2	4	3	2	true
1	4	3	3	false	1	0	1	4	3	3	false
1	4	3	3	false	1	-5.0	1	5	3	3	false
1	5	3	3	false	3	0	1	5	3	3	false
1	5	3	3	false	2	45.0	1	5	3	3	true
