x	y	temp	time	received_request	a	r	sp_x	sp_y	sp_temp	sp_time	sp_received_request
49	79	2	4	false	2	-5.0	49	78	2	4	false
49	78	2	4	false	3	-5.0	48	78	2	4	false
48	78	2	4	false	3	-5.0	47	78	2	4	false
47	78	2	4	false	1	-5.0	47	79	2	4	false
47	79	2	4	false	1	-5.0	47	80	2	4	false
47	80	2	4	false	2	-5.0	47	79	2	4	false
47	79	2	4	false	2	-5.0	47	78	2	4	false
47	78	2	4	false	1	-5.0	47	79	2	4	false
47	79	2	4	false	4	-5.0	48	79	2	4	false
48	79	2	4	false	5	0	48	79	2	4	false
48	79	2	4	false	1	995.0	48	79	2	4	true
52	48	3	1	false	5	0	52	48	3	1	false
52	48	3	1	false	5	0	52	48	3	1	false
52	48	3	1	false	2	-5.0	52	47	3	1	false
52	47	3	1	false	3	-5.0	51	47	3	1	false
51	47	3	1	false	2	-5.0	51	46	3	1	false
51	46	3	1	false	4	-5.0	52	46	3	1	false
52	46	3	1	false	5	0	52	46	3	1	false
52	46	3	1	false	2	0	52	46	3	1	false
52	46	3	1	false	2	0	52	46	3	1	false
52	46	3	1	false	3	-5.0	51	46	3	1	false
51	46	3	1	false	1	-5.0	51	47	3	1	false
51	47	3	1	false	1	-5.0	51	48	3	1	false
51	48	3	1	false	4	-5.0	52	48	3	1	false
52	48	3	1	false	3	995.0	51	48	3	1	true
4	81	4	2	false	3	-5.0	3	81	4	2	false
3	81	4	2	false	2	-5.0	3	80	4	2	false
3	80	4	2	false	4	-5.0	4	80	4	2	false
4	80	4	2	false	5	0	4	80	4	2	false
4	80	4	2	false	4	-5.0	5	80	4	2	false
5	80	4	2	false	5	0	5	80	4	2	false
5	80	4	2	false	2	-5.0	5	79	4	2	false
5	79	4	2	false	5	0	5	79	4	2	false
5	79	4	2	false	1	-5.0	5	80	4	2	false
5	80	4	2	false	3	-5.0	4	80	4	2	false
4	80	4	2	false	3	-5.0	3	80	4	2	false
3	80	4	2	false	2	-5.0	3	79	4	2	false
3	79	4	2	false	5	0	3	79	4	2	false
3	79	4	2	false	5	0	3	79	4	2	false
3	79	4	2	false	4	0	3	79	4	2	false
3	79	4	2	false	2	-5.0	3	78	4	2	false
3	78	4	2	false	5	0	3	78	4	2	false
3	78	4	2	false	1	-5.0	3	79	4	2	false
3	79	4	2	false	5	995.0	3	79	4	2	true
71	95	4	1	false	1	-5.0	71	96	4	1	false
71	96	4	1	false	2	-5.0	71	95	4	1	false
71	95	4	1	false	1	-5.0	71	96	4	1	false
71	96	4	1	false	2	-5.0	71	95	4	1	false
71	95	4	1	false	2	-5.0	71	94	4	1	false
71	94	4	1	false	1	995.0	71	95	4	1	true
1	4	3	3	false	5	0	1	4	3	3	false
1	4	3	3	false	4	-5.0	2	4	3	3	false
2	4	3	3	false	5	0	2	4	3	3	false
2	4	3	3	false	4	995.0	3	4	3	3	true
98	4	1	1	false	3	-5.0	97	4	1	1	false
97	4	1	1	false	3	-5.0	96	4	1	1	false
96	4	1	1	false	3	-5.0	95	4	1	1	false
95	4	1	1	false	3	-5.0	94	4	1	1	false
94	4	1	1	false	5	0	94	4	1	1	false
94	4	1	1	false	5	0	94	4	1	1	false
94	4	1	1	false	4	-5.0	95	4	1	1	false
95	4	1	1	false	4	-5.0	96	4	1	1	false
96	4	1	1	false	3	-5.0	95	4	1	1	false
95	4	1	1	false	3	-5.0	94	4	1	1	false
94	4	1	1	false	3	-5.0	93	4	1	1	false
93	4	1	1	false	2	-5.0	93	3	1	1	false
93	3	1	1	false	4	-5.0	94	3	1	1	false
94	3	1	1	false	4	-5.0	95	3	1	1	false
95	3	1	1	false	5	0	95	3	1	1	false
95	3	1	1	false	2	-5.0	95	2	1	1	false
95	2	1	1	false	1	-5.0	95	3	1	1	false
95	3	1	1	false	5	0	95	3	1	1	false
95	3	1	1	false	2	-5.0	95	2	1	1	false
95	2	1	1	false	5	0	95	2	1	1	false
95	2	1	1	false	3	-5.0	94	2	1	1	false
94	2	1	1	false	5	0	94	2	1	1	false
94	2	1	1	false	1	-5.0	94	3	1	1	false
