x	y	temp	time	received_request	a	r	sp_x	sp_y	sp_temp	sp_time	sp_received_request
1	1	1	1	false	2	0	1	1	1	1	false
1	1	1	1	false	5	0	1	1	1	1	false
1	1	1	1	false	2	0	1	1	1	1	false
1	1	1	1	false	3	0	1	1	1	1	false
1	1	1	1	false	4	-5.0	2	1	1	1	false
2	1	1	1	false	5	0	2	1	1	1	false
2	1	1	1	false	3	995.0	1	1	1	1	true
1	1	1	2	false	3	0	1	1	1	2	false
1	1	1	2	false	2	0	1	1	1	2	false
1	1	1	2	false	5	0	1	1	1	2	false
1	1	1	2	false	2	0	1	1	1	2	false
1	1	1	2	false	2	0	1	1	1	2	false
1	1	1	2	false	4	-5.0	2	1	1	2	false
2	1	1	2	false	2	0	2	1	1	2	false
2	1	1	2	false	5	0	2	1	1	2	false
2	1	1	2	false	1	-5.0	2	2	1	2	false
2	2	1	2	false	2	-5.0	2	1	1	2	false
2	1	1	2	false	2	0	2	1	1	2	false
2	1	1	2	false	5	0	2	1	1	2	false
2	1	1	2	false	5	0	2	1	1	2	false
2	1	1	2	false	5	0	2	1	1	2	false
2	1	1	2	false	1	-5.0	2	2	1	2	false
2	2	1	2	false	5	0	2	2	1	2	false
2	2	1	2	false	4	-5.0	3	2	1	2	false
3	2	1	2	false	2	-5.0	3	1	1	2	false
3	1	1	2	false	5	0	3	1	1	2	false
3	1	1	2	false	1	-5.0	3	2	1	2	false
3	2	1	2	false	2	-5.0	3	1	1	2	false
3	1	1	2	false	3	-5.0	2	1	1	2	false
2	1	1	2	false	5	0	2	1	1	2	false
2	1	1	2	false	3	-5.0	1	1	1	2	false
1	1	1	2	false	1	-5.0	1	2	1	2	false
1	2	1	2	false	4	-5.0	2	2	1	2	false
2	2	1	2	false	1	-5.0	2	3	1	2	false
2	3	1	2	false	1	-5.0	2	4	1	2	false
2	4	1	2	false	3	-5.0	1	4	1	2	false
1	4	1	2	false	3	0	1	4	1	2	false
1	4	1	2	false	4	-5.0	2	4	1	2	false
2	4	1	2	false	3	-5.0	1	4	1	2	false
1	4	1	2	false	1	-5.0	1	5	1	2	false
1	5	1	2	false	2	-5.0	1	4	1	2	false
1	4	1	2	false	1	-5.0	1	5	1	2	false
1	5	1	2	false	5	0	1	5	1	2	false
1	5	1	2	false	3	0	1	5	1	2	false
1	5	1	2	false	5	0	1	5	1	2	false
1	5	1	2	false	5	0	1	5	1	2	false
1	5	1	2	false	5	0	1	5	1	2	false
1	5	1	2	false	2	-5.0	1	4	1	2	false
1	4	1	2	false	2	-5.0	1	3	1	2	false
1	3	1	2	false	3	0	1	3	1	2	false
1	3	1	2	false	3	0	1	3	1	2	false
1	3	1	2	false	4	-5.0	2	3	1	2	false
2	3	1	2	false	4	-5.0	3	3	1	2	false
3	3	1	2	false	4	-5.0	4	3	1	2	false
4	3	1	2	false	1	-5.0	4	4	1	2	false
4	4	1	2	false	2	-5.0	4	3	1	2	false
4	3	1	2	false	3	-5.0	3	3	1	2	false
3	3	1	2	false	4	-5.0	4	3	1	2	false
4	3	1	2	false	4	-5.0	5	3	1	2	false
5	3	1	2	false	5	0	5	3	1	2	false
5	3	1	2	false	2	-5.0	5	2	1	2	false
5	2	1	2	false	2	-5.0	5	1	1	2	false
5	1	1	2	false	5	0	5	1	1	2	false
5	1	1	2	false	1	-5.0	5	2	1	2	false
5	2	1	2	false	1	-5.0	5	3	1	2	false
5	3	1	2	false	1	-5.0	5	4	1	2	false
5	4	1	2	false	1	-5.0	5	5	1	2	false
5	5	1	2	false	2	-5.0	5	4	1	2	false
5	4	1	2	false	1	-5.0	5	5	1	2	false
5	5	1	2	false	2	-5.0	5	4	1	2	false
5	4	1	2	false	2	-5.0	5	3	1	2	false
5	3	1	2	false	4	995.0	6	3	1	2	true
1	1	1	3	false	3	0	1	1	1	3	false
1	1	1	3	false	5	0	1	1	1	3	false
1	1	1	3	false	4	-5.0	2	1	1	3	false
2	1	1	3	false	4	-5.0	3	1	1	3	false
3	1	1	3	false	4	-5.0	4	1	1	3	false
4	1	1	3	false	3	-5.0	3	1	1	3	false
3	1	1	3	false	4	-5.0	4	1	1	3	false
4	1	1	3	false	1	-5.0	4	2	1	3	false
4	2	1	3	false	1	-5.0	4	3	1	3	false
4	3	1	3	false	3	-5.0	3	3	1	3	false
